rna0;XM_005088767.1
rna23490;XM_013088326.1
rna23491;XM_013088325.1
rna23492;XM_005108826.2
rna23493;XM_005108830.2
rna23494;XM_013088328.1
rna23495;XM_013088329.1
rna23496;XM_013088331.1
rna23497;XM_013088335.1
rna23498;XM_013088334.1
rna23499;XM_005108835.2
rna23500;XM_005108836.1
rna23501;XM_005108837.2
rna23502;XM_005108832.2
rna23503;XM_005108831.2
rna23504;XM_005108833.2
rna23505;XM_013088333.1
rna23506;XM_005108834.2
rna23507;XM_005108838.2
rna23508;XM_005108841.1
rna23509;XM_005108842.2
rna23510;XM_013088336.1
rna23513;XM_005108844.1
rna23514;XM_005108839.2
rna23515;XM_005108840.2
rna23517;XM_005108845.2
rna23519;XM_013088338.1
rna23520;XM_013088343.1
rna23521;XM_013088342.1
rna23522;XM_013088341.1
rna23523;XM_013088340.1
rna23524;XM_013088339.1
rna23525;XM_013088347.1
rna23526;XM_013088346.1
rna23527;XM_013088348.1
rna23528;XM_013088345.1
rna23529;XM_013088352.1
rna23530;XM_013088351.1
rna23531;XM_013088354.1
rna23532;XM_013088355.1
rna23533;XM_013088353.1
rna23534;XM_013088349.1
rna23535;XM_013088337.1
rna23536;XM_013088358.1
rna23538;XM_013088359.1
rna23539;XM_005108856.2
rna23540;XM_005108855.2
rna23541;XM_005108857.2
rna23542;XM_005108860.2
rna23543;XM_013088356.1
rna23544;XM_013088360.1
rna23545;XM_013088362.1
rna23548;XM_005108863.2
rna23549;XM_013088357.1
rna23550;XM_005108864.2
rna23551;XM_005108865.2
rna23552;XM_005108868.2
rna23553;XM_013088365.1
rna23554;XM_005108878.2
rna23555;XM_013088364.1
rna23556;XM_013088367.1
rna23557;XM_005108870.2
rna23558;XM_013088363.1
rna23559;XM_005108872.2
rna23560;XM_005108871.2
rna23561;XM_005108873.2
rna23562;XM_005108874.2
rna23563;XM_005108875.2
rna23564;XM_013088366.1
rna23565;XM_013088368.1
rna23566;XM_013088371.1
rna23567;XM_013088369.1
rna23568;XM_005108879.2
rna23569;XM_005108880.2
rna23571;XM_005108888.1
rna23572;XM_005108881.2
rna23573;XM_005108882.2
rna23574;XM_005108884.2
rna23575;XM_005108883.2
rna23576;XM_005108885.2
rna23577;XM_005108889.2
rna23578;XM_005108891.2
rna23579;XM_005108890.2
rna23580;XM_005108892.2
rna23581;XM_005108893.2
rna23582;XM_013088375.1
rna23583;XM_013088374.1
rna23584;XM_005108895.2
rna23585;XM_005108896.2
rna23586;XM_013088372.1
rna23587;XM_013088376.1
rna23588;XM_005108898.2
rna23589;XM_005108899.2
rna23590;XM_005108900.2
rna23591;XM_005108901.2
rna23592;XM_005108903.2
rna23593;XM_005108902.2
rna23594;XM_005108904.1
rna23595;XM_013088378.1
rna23596;XM_005108905.2
rna23597;XM_005108908.2
rna23598;XM_005108906.2
rna23599;XM_013088383.1
rna23600;XM_013088379.1
rna23601;XM_013088380.1
rna23602;XM_013088381.1
rna23603;XM_005108910.2
rna23604;XM_013088382.1
rna23605;XM_005108911.2
rna23606;XM_005108912.2
rna23607;XM_005108920.2
rna23608;XM_005108921.2
rna23609;XM_005108922.2
rna23610;XM_005108923.2
rna23611;XM_005108925.1
rna23612;XM_013088386.1
rna23613;XM_005108926.2
rna23614;XM_013088387.1
rna23615;XM_013088389.1
rna23616;NM_001204652.1
rna23618;XM_013088384.1
rna23619;XM_013088390.1
rna23620;XM_013088391.1
rna23621;XM_013088385.1
rna23623;XM_013088392.1
rna23624;XM_005108931.2
rna23625;XM_013088399.1
rna23626;XM_013088393.1
rna23627;XM_005108932.2
rna23628;XM_013088395.1
rna23630;XM_005108933.2
rna23631;XM_005108937.1
rna23632;XM_013088397.1
rna23633;XM_005108938.1
rna23635;XM_013088398.1
rna23636;XM_013088404.1
rna23640;XM_013088403.1
rna23641;XM_013088402.1
rna23642;XM_013088400.1
rna23643;XM_005108941.2
rna23644;XM_005108942.2
rna23645;XM_005108945.2
rna23646;XM_013088401.1
rna23647;XM_005108947.2
rna23648;XM_005108948.1
rna23649;XM_005108949.2
rna23650;XM_013088405.1
rna23651;XM_005108951.2
rna23653;XM_005108952.2
rna23654;XM_005108953.1
rna23655;XM_005108954.2
rna23656;XM_005108955.2
rna23658;XM_005108962.1
rna23660;XM_013088407.1
rna23661;XM_005108963.2
rna23662;XM_005108956.2
rna23663;XM_005108957.2
rna23664;XM_013088409.1
rna23665;XM_013088410.1
rna23666;XM_005108959.2
rna23667;XM_005108961.2
rna23668;XM_005108975.2
rna23669;XM_013088416.1
rna23670;XM_005108976.2
rna23671;XM_005108965.2
rna23672;XM_005108966.2
rna23673;XM_013088414.1
rna23674;XM_013088415.1
rna23675;XM_005108977.2
rna23676;XM_005108968.2
rna23677;XM_005108978.1
rna23678;XM_005108969.2
rna23681;XM_013088412.1
rna23682;XM_005108970.2
rna23683;XM_013088413.1
rna23684;XM_005108974.2
rna23685;XM_013088419.1
rna23686;XM_005108981.2
rna23687;XM_013088417.1
rna23688;XM_013088418.1
rna23689;XM_005108983.2
rna23690;XM_005108984.2
rna23691;XM_005108982.2
rna23692;XM_005108985.2
rna23693;XM_013088420.1
rna23694;XM_013088422.1
rna23695;XM_005108996.2
rna23696;XM_013088421.1
rna23697;XM_005108990.2
rna23698;XM_005108991.2
rna23699;XM_013088423.1
rna23700;XM_013088424.1
rna23701;XM_005109004.2
rna23702;XM_005109002.2
rna23703;XM_005109000.2
rna23704;XM_005109001.2
rna23705;XM_005108998.2
rna23706;NM_001204631.1
rna23708;XM_005109005.1
rna23709;XM_005109006.2
rna23710;XM_005109007.2
rna23711;XM_005109008.2
rna23712;XM_005109009.2
rna23713;XM_013088427.1
rna23714;XM_013088426.1
rna23715;XM_005109010.2
rna23716;XM_013088425.1
rna23717;XM_005109011.2
rna23718;XM_005109017.1
rna23719;XM_005109012.2
rna23720;XM_005109022.2
rna23721;XM_005109021.2
rna23722;XM_005109019.2
rna23723;XM_013088429.1
rna23724;XM_005109020.2
rna23725;XM_005109018.2
rna23726;XM_005109023.2
rna23727;XM_013088430.1
rna23728;XM_005109027.2
rna23729;XM_005109024.2
rna23730;XM_005109025.2
rna23731;XM_005109029.2
rna23732;XM_005109026.2
rna23733;XM_013088432.1
rna23734;XM_005109030.2
rna23736;XM_005109031.2
rna23737;XM_013088440.1
rna23740;XM_005109032.2
rna23741;XM_005109033.1
rna23742;XM_005109036.2
rna23743;XM_005109035.2
rna23744;XM_005109037.2
rna23745;XM_005109038.2
rna23746;XM_005109039.2
rna23747;XM_013088436.1
rna23748;XM_005109040.2
rna23749;XM_005109041.2
rna23750;XM_013088439.1
rna23751;XM_005109042.2
rna23752;XM_013088435.1
rna23753;XM_013088433.1
rna23755;XM_005109046.2
rna23756;XM_005109043.2
rna23757;XM_013088434.1
rna23758;XM_013088442.1
rna23759;XM_013088443.1
rna23760;XM_005109047.1
rna23762;XM_013088444.1
rna23763;XM_013088441.1
rna23764;XM_013088445.1
rna23765;XM_013088450.1
rna23767;XM_005109053.2
rna23768;XM_005109051.1
rna23769;XM_005109052.1
rna23770;XM_013088451.1
rna23771;XM_005109055.1
rna23772;XM_013088446.1
rna23773;XM_005109056.1
rna23774;XM_013088448.1
rna23775;XM_013088449.1
rna23776;XM_013088447.1
rna23777;XM_013088459.1
rna23778;XM_005109059.2
rna23779;XM_013088453.1
rna23780;XM_013088455.1
rna23781;XM_005109062.2
rna23782;XM_013088456.1
rna23783;XM_005109063.2
rna23784;XM_013088457.1
rna23785;XM_005109065.2
rna23786;XM_013088462.1
rna23787;XM_005109067.2
rna23788;XM_005109076.2
rna23789;XM_013088460.1
rna23790;XM_013088461.1
rna23791;XM_013088454.1
rna23792;XM_005109069.2
rna23793;XM_005109070.2
rna23794;XM_005109083.2
rna23795;XM_005109082.2
rna23796;XM_005109081.2
rna23797;XM_005109080.2
rna23798;XM_005109087.2
rna23799;XM_005109085.2
rna23800;XM_005109088.2
rna23801;XM_005109089.2
rna23802;XM_005109086.2
rna23803;XM_005109084.2
rna23804;XM_005109090.2
rna23805;XM_005109093.2
rna23806;XM_005109092.2
rna23807;XM_013088463.1
rna23808;XM_005109094.2
rna23809;XM_013088466.1
rna23810;XM_005109095.2
rna23811;XM_013088465.1
rna23812;XM_005109096.2
rna23813;XM_005109097.2
rna23815;XM_005109098.2
rna23816;XM_005109099.2
rna23817;XM_005109100.2
rna23818;XM_005109101.2
rna23819;XM_005109102.2
rna23820;XM_005109129.2
rna23821;XM_005109106.2
rna23822;XM_005109108.2
rna23823;XM_005109107.2
rna23824;XM_013088476.1
rna23825;XM_005109109.2
rna23826;XM_013088468.1
rna23827;XM_005109110.2
rna23828;XM_005109111.2
rna23829;XM_005109112.2
rna23830;XM_013088469.1
rna23831;XM_005109114.2
rna23832;XM_005109116.2
rna23833;XM_005109115.2
rna23834;XM_005109117.2
rna23835;XM_013088470.1
rna23836;XM_005109118.1
rna23837;XM_013088472.1
rna23838;XM_005109120.2
rna23839;XM_005109119.2
rna23840;XM_013088473.1
rna23841;XM_013088471.1
rna23842;XM_005109122.2
rna23843;XM_013088474.1
rna23844;XM_005109124.1
rna23845;XM_005109125.1
rna23846;XM_005109126.1
rna23847;XM_005109127.2
rna23848;XM_013088475.1
rna23849;XM_005109128.2
rna23850;XM_005109144.2
rna23851;XM_013088484.1
rna23852;XM_005109132.2
rna23853;XM_005109133.2
rna23854;XM_013088485.1
rna23855;XM_013088483.1
rna23856;XM_005109134.2
rna23857;XM_005109135.2
rna23858;XM_013088487.1
rna23859;XM_005109137.2
rna23860;XM_005109138.2
rna23861;XM_013088477.1
rna23862;XM_013088480.1
rna23863;XM_013088479.1
rna23864;XM_013088478.1
rna23865;XM_005109147.2
rna23866;XM_005109140.2
rna23867;XM_005109139.2
rna23868;XM_013088482.1
rna23869;XM_005109142.2
rna23870;XM_005109143.2
rna23871;XM_013088486.1
rna23872;XM_013088494.1
rna23873;XM_005109148.1
rna23874;XM_005109149.2
rna23875;XM_013088490.1
rna23876;XM_013088488.1
rna23877;XM_013088489.1
rna23878;XM_013088492.1
rna23879;XM_005109154.1
rna23880;XM_013088491.1
rna23881;XM_005109150.2
rna23882;XM_013088495.1
rna23883;XM_013088493.1
rna23884;XM_005109157.2
rna23885;XM_005109158.2
rna23886;XM_005109159.1
rna23887;XM_013088496.1
rna23888;XM_013088497.1
rna23889;XM_005109160.2
rna23890;XM_013088498.1
rna23891;XM_013088501.1
rna23892;XM_013088499.1
rna23893;XM_013088500.1
rna23894;XM_005109166.2
rna23895;XM_013088502.1
rna23896;XM_005109169.2
rna23897;XM_005109168.2
rna23898;XM_005109170.2
rna23899;XM_005109171.2
rna23900;XM_013088508.1
rna23901;XM_005109172.2
rna23902;XM_013088509.1
rna23903;XM_005109175.2
rna23904;XM_005109174.2
rna23905;XM_013088506.1
rna23906;XM_005109173.2
rna23907;XM_005109176.2
rna23908;XM_013088510.1
rna23909;XM_013088503.1
rna23910;XM_013088504.1
rna23911;XM_005109177.2
rna23912;XM_005109178.2
rna23913;XM_005109179.2
rna23914;XM_005109180.2
rna23915;XM_005109181.2
rna23916;XM_013088505.1
rna23917;XM_005109186.2
rna23918;XM_005109185.2
rna23919;XM_005109187.2
rna23920;XM_005109189.2
rna23922;XM_005109188.2
rna23923;NM_001280846.1
rna23924;NM_001204577.1
rna23926;XM_013088512.1
rna23928;XM_013088513.1
rna23929;XM_013088515.1
rna23930;XM_005109195.2
rna23931;XM_013088517.1
rna23932;XM_013088516.1
rna23933;XM_005109196.2
rna23934;XM_005109197.2
rna23935;XM_005109198.2
rna23936;XM_005109199.2
rna23937;XM_013088518.1
rna23938;XM_005109200.2
rna23939;XM_005109202.2
rna23940;XM_013088520.1
rna23941;XM_013088519.1
rna23942;XM_005109205.2
rna23943;XM_013088525.1
rna23944;XM_005109216.2
rna23945;XM_013088524.1
rna23946;XM_013088526.1
rna23947;XM_005109219.1
rna23948;XM_005109221.2
rna23949;XM_013088522.1
rna23950;XM_005109207.1
rna23951;XM_005109210.1
rna23952;XM_005109208.1
rna23953;XM_005109211.1
rna23954;XM_005109209.1
rna23955;XM_005109212.1
rna23956;XM_005109213.1
rna23957;XM_005109223.2
rna23958;XM_005109214.2
rna23960;XM_005109224.2
rna23961;XM_005109225.1
rna23962;XM_013088523.1
rna23963;XM_013088527.1
rna23964;XM_005109237.2
rna23965;XM_005109230.2
rna23966;XM_005109228.2
rna23967;XM_013088532.1
rna23969;XM_013088530.1
rna23970;XM_013088528.1
rna23971;XM_013088529.1
rna23972;XM_005109233.2
rna23973;XM_005109232.2
rna23974;XM_005109234.2
rna23975;XM_013088531.1
rna23976;XM_013088539.1
rna23977;XM_013088540.1
rna23978;XM_013088541.1
rna23979;XM_013088542.1
rna23980;XM_013088536.1
rna23981;XM_013088538.1
rna23982;XM_013088537.1
rna23983;XM_005109244.2
rna23984;XM_005109245.2
rna23985;XM_013088534.1
rna23986;XM_013088533.1
rna23987;XM_005109246.2
rna23988;XM_005109248.2
rna23989;XM_005109249.2
rna23990;XM_005109250.2
rna23991;XM_005109251.2
rna23993;XM_013088543.1
rna23994;XM_013088546.1
rna23995;XM_013088547.1
rna23996;XM_005109256.2
rna23997;XM_005109254.2
rna23998;XM_013088545.1
rna23999;XM_005109255.2
rna24000;XM_005109257.2
rna24001;NM_001204569.1
rna24002;XM_013088549.1
rna24003;XM_013088548.1
rna24004;XM_013088553.1
rna24005;XM_013088551.1
rna24006;XM_013088550.1
rna24007;XM_005109260.2
rna24008;XM_005109262.2
rna24009;XM_005109261.2
rna24010;XM_013088552.1
rna24011;XM_013088557.1
rna24012;XM_005109267.2
rna24014;XM_005109269.2
rna24015;XM_005109268.2
rna24016;XM_013088556.1
rna24017;XM_005109270.2
rna24018;XM_005109281.2
rna24019;XM_005109273.2
rna24020;XM_005109272.2
rna24021;XM_005109271.2
rna24022;XM_005109274.2
rna24023;XM_005109282.1
rna24024;XM_013088555.1
rna24025;XM_005109277.2
rna24026;XM_005109278.2
rna24027;XM_005109279.2
rna24028;XM_013088559.1
rna24029;XM_013088554.1
rna24030;XM_005109285.2
rna24031;XM_005109286.2
rna24032;XM_013088560.1
rna24033;XM_005109288.2
rna24034;XM_005109296.2
rna24035;XM_005109289.2
rna24036;XM_005109290.2
rna24037;XM_005109291.2
rna24038;XM_005109292.1
rna24039;XM_005109293.2
rna24040;XM_005109298.1
rna24041;XM_005109299.1
rna24042;XM_005109294.2
rna24043;XM_005109295.2
rna24044;XM_005109300.2
rna24045;XM_005109302.2
rna24046;XM_013088562.1
rna24047;XM_005109301.2
rna24048;XM_013088564.1
rna24049;XM_013088563.1
rna24050;XM_013088565.1
rna24051;XM_005109305.2
rna24052;XM_005109312.1
rna24053;XM_005109307.2
rna24054;XM_005109308.2
rna24055;XM_005109306.2
rna24056;XM_013088566.1
rna24057;XM_013088567.1
rna24058;XM_005109313.2
rna24059;XM_013088568.1
rna24060;XM_005109316.2
rna24061;XM_013088570.1
rna24062;XM_005109321.2
rna24063;XM_013088571.1
rna24064;XM_013088569.1
rna24065;XM_005109325.2
rna24066;XM_005109332.2
rna24067;XM_005109326.2
rna24068;XM_013088577.1
rna24069;XM_013088579.1
rna24070;XM_013088578.1
rna24071;XM_005109327.2
rna24072;XM_013088572.1
rna24073;XM_013088573.1
rna24074;XM_013088576.1
rna24075;XM_005109329.2
rna24076;XM_005109330.2
rna24077;XM_005109331.2
rna24078;XM_005109336.2
rna24079;XM_005109337.2
rna24080;XM_005109338.1
rna24081;XM_005109339.1
rna24082;XM_013088583.1
rna24083;XM_005109341.1
rna24084;XM_005109342.1
rna24085;XM_005109343.2
rna24086;XM_013088581.1
rna24087;XM_013088580.1
rna24088;XM_005109345.2
rna24089;XM_005109346.1
rna24090;XM_005109348.2
rna24091;XM_005109347.2
rna24092;XM_013088584.1
rna24093;XM_005109349.2
rna24094;XM_005109350.2
rna24095;XM_005109351.2
rna24096;XM_013088585.1
rna24097;XM_005109352.2
rna24098;NM_001204580.1
rna24099;XM_013088586.1
rna24100;XM_013088587.1
rna24101;XM_005109354.2
rna24103;XM_005109356.2
rna24104;XM_005109355.2
rna24105;XM_005109357.2
rna24106;XM_005109358.2
rna24107;XM_005109363.2
rna24108;XM_013088588.1
rna24109;XM_013088589.1
rna24110;XM_005109359.2
rna24111;XM_005109366.2
rna24112;XM_005109360.2
rna24113;XM_005109361.2
rna24114;XM_005109369.2
rna24115;XM_013088590.1
rna24116;XM_013088591.1
rna24118;XM_013088592.1
rna24120;XM_013088593.1
rna24121;XM_005109373.2
rna24124;XM_005109374.2
rna24125;XM_005109375.2
rna24126;XM_005109379.2
rna24127;XM_005109376.2
rna24128;XM_005109380.2
rna24129;XM_005109381.2
rna24130;XM_005109382.2
rna24131;XM_013088594.1
rna24134;XM_013088600.1
rna24135;XM_005109392.2
rna24136;XM_005109386.2
rna24137;XM_005109385.2
rna24138;XM_005109387.1
rna24139;XM_013088597.1
rna24141;XM_005109394.2
rna24142;XM_005109390.2
rna24143;XM_013088598.1
rna24144;XM_013088596.1
rna24145;XM_013088595.1
rna24146;XM_005109397.2
rna24147;XM_005109402.1
rna24148;XM_005109398.2
rna24149;XM_005109403.2
rna24150;XM_005109399.2
rna24151;XM_013088607.1
rna24152;XM_013088606.1
rna24153;XM_005109400.2
rna24154;XM_013088604.1
rna24155;XM_013088605.1
rna24156;XM_013088603.1
rna24158;XM_013088601.1
rna24159;XM_005109405.2
rna24160;XM_013088602.1
rna24161;XM_013088619.1
rna24162;XM_013088621.1
rna24163;XM_005109407.2
rna24164;XM_005109408.2
rna24165;XM_005109410.2
rna24166;XM_005109409.2
rna24167;XM_005109411.2
rna24168;XM_013088613.1
rna24169;XM_013088615.1
rna24170;XM_013088614.1
rna24171;XM_013088616.1
rna24172;XM_013088617.1
rna24173;XM_013088618.1
rna24174;XM_013088624.1
rna24175;XM_013088625.1
rna24176;XM_013088608.1
rna24177;XM_013088609.1
rna24178;XM_013088611.1
rna24179;XM_013088622.1
rna24180;XM_013088610.1
rna24181;XM_013088623.1
rna24182;XM_013088630.1
rna24183;XM_005109423.2
rna24184;XM_005109424.2
rna24185;XM_005109426.2
rna24186;XM_005109425.2
rna24187;XM_013088631.1
rna24188;XM_013088627.1
rna24189;XM_013088626.1
rna24190;XM_005109427.2
rna24191;XM_013088628.1
rna24192;XM_013088629.1
rna24193;XM_005109429.2
rna24194;XM_013088632.1
rna24195;XM_005109430.2
rna24196;XM_013088633.1
rna24197;XM_005109439.1
rna24198;XM_013088634.1
rna24199;XM_005109435.2
rna24200;XM_005109436.2
rna24201;XM_005109437.2
rna24202;XM_013088635.1
rna24203;XM_013088637.1
rna24204;XM_013088636.1
rna24205;XM_005109443.2
rna24206;XM_005109444.2
rna24207;XM_005109448.2
rna24208;XM_005109458.2
rna24209;XM_005109459.2
rna24210;XM_005109455.2
rna24211;XM_005109456.2
rna24212;XM_005109452.2
rna24213;XM_013088638.1
rna24214;XM_005109453.2
rna24215;XM_013088639.1
rna24216;XM_005109451.2
rna24217;XM_013088640.1
rna24218;XM_013088641.1
rna24219;XM_013088645.1
rna24220;XM_005109465.2
rna24221;XM_013088642.1
rna24222;XM_005109467.2
rna24223;XM_005109466.2
rna24224;XM_013088644.1
rna24225;XM_013088643.1
rna24226;XM_013088649.1
rna24227;XM_013088650.1
rna24228;XM_013088647.1
rna24229;XM_013088651.1
rna24230;XM_013088648.1
rna24232;XM_005109470.2
rna24233;XM_013088655.1
rna24234;XM_005109472.2
rna24235;XM_005109471.2
rna24236;XM_005109480.2
rna24237;XM_005109481.2
rna24238;XM_013088654.1
rna24239;XM_013088653.1
rna24240;XM_005109474.2
rna24241;XM_005109473.2
rna24242;XM_005109482.2
rna24243;XM_005109475.2
rna24244;XM_005109476.2
rna24245;XM_013088646.1
rna24246;XM_013088652.1
rna24247;XM_005109477.2
rna24248;XM_005109478.2
rna24249;XM_005109479.2
rna24250;XM_013088658.1
rna24252;XM_005109485.2
rna24253;XM_013088657.1
rna24254;XM_013088656.1
rna24255;XM_013088660.1
rna24256;XM_013088661.1
rna24257;XM_005109486.2
rna24258;XM_005109487.2
rna24259;XM_005109488.2
rna24260;XM_013088662.1
rna24261;XM_005109489.2
rna24262;XM_005109491.2
rna24263;XM_005109490.2
rna24264;XM_013088665.1
rna24265;XM_005109495.2
rna24266;XM_013088663.1
rna24267;XM_005109496.2
rna24268;XM_005109497.2
rna24269;XM_013088668.1
rna24270;XM_005109500.2
rna24271;XM_005109502.2
rna24272;XM_013088666.1
rna24273;XM_013088667.1
rna24274;XM_005109504.2
rna24275;XM_005109505.2
rna24276;XM_013088670.1
rna24277;XM_005109509.2
rna24278;XM_005109510.2
rna24279;XM_013088669.1
rna24280;XM_005109514.2
rna24281;XM_013088672.1
rna24282;XM_005109516.2
rna24283;XM_013088671.1
rna24284;XM_005109511.2
rna24285;XM_013088674.1
rna24286;XM_013088675.1
rna24287;XM_005109517.2
rna24288;XM_013088676.1
rna24289;XM_013088678.1
rna24290;XM_013088681.1
rna24291;XM_013088680.1
rna24292;XM_013088679.1
rna24293;XM_013088682.1
rna24294;XM_013088683.1
rna24295;XM_005109526.2
rna24296;XM_005109527.2
rna24297;XM_013088673.1
rna24298;NM_001204587.1
rna24299;XM_005109528.2
rna24300;XM_005109529.2
rna24302;XM_005109531.1
rna24303;XM_013088677.1
rna24304;XM_005109533.2
rna24305;XM_005109532.2
rna24306;XM_005109534.2
rna24307;XM_013088684.1
rna24308;XM_005109539.2
rna24310;XM_005109540.2
rna24311;XM_005109542.2
rna24312;XM_005109543.2
rna24313;XM_005109548.2
rna24314;XM_005109546.2
rna24315;XM_013088687.1
rna24316;XM_013088685.1
rna24317;XM_013088688.1
rna24318;NM_001204688.1
rna24319;XM_005109556.2
rna24320;XM_005109554.2
rna24321;XM_005109555.2
rna24322;XM_013088690.1
rna24323;XM_005109557.2
rna24324;XM_013088691.1
rna24326;XM_005109560.2
rna24327;XM_005109561.2
rna24328;XM_005109562.2
rna24329;XM_005109564.2
rna24330;XM_005109566.2
rna24331;XM_013088694.1
rna24332;XM_013088697.1
rna24333;XM_013088696.1
rna24334;XM_013088695.1
rna24335;XM_005109567.2
rna24336;XM_013088693.1
rna24337;XM_013088700.1
rna24338;XM_005109570.2
rna24339;XM_005109571.2
rna24340;XM_005109573.2
rna24341;XM_013088701.1
rna24342;XM_005109575.2
rna24343;XM_013088699.1
rna24344;XM_013088706.1
rna24345;XM_005109580.2
rna24346;XM_013088705.1
rna24347;XM_005109578.2
rna24348;XM_013088703.1
rna24349;XM_005109579.2
rna24350;XM_013088702.1
rna24351;XM_005109583.1
rna24352;XM_005109584.1
rna24353;XM_005109585.1
rna24354;XM_005109586.1
rna24355;XM_005109587.1
rna24356;XM_013088704.1
rna24357;XM_005109591.2
rna24358;XM_013088708.1
rna24359;XM_013088710.1
rna24360;XM_013088709.1
rna24361;XM_005109589.2
rna24362;XM_005109590.2
rna24364;XM_013088715.1
rna24365;XM_013088711.1
rna24366;XM_005109604.1
rna24367;XM_005109594.2
rna24368;XM_013088720.1
rna24369;XM_013088719.1
rna24370;XM_013088718.1
rna24373;XM_005109595.2
rna24374;XM_005109597.2
rna24375;XM_005109596.2
rna24376;XM_005109598.2
rna24377;XM_005109599.2
rna24378;XM_005109600.2
rna24379;XM_005109601.2
rna24380;XM_013088716.1
rna24381;XM_013088717.1
rna24384;XM_013088714.1
rna24385;XM_013088713.1
rna24386;XM_005109602.2
rna24387;XM_013088721.1
rna24388;XM_005109611.2
rna24389;XM_005109606.2
rna24390;XM_005109607.2
rna24391;XM_005109608.2
rna24392;XM_005109612.2
rna24393;XM_005109614.2
rna24394;XM_005109616.2
rna24395;XM_005109617.2
rna24396;XM_013088727.1
rna24397;XM_013088728.1
rna24398;XM_013088729.1
rna24399;XM_005109621.2
rna24400;XM_013088724.1
rna24401;XM_005109623.2
rna24402;XM_005109624.2
rna24404;XM_013088725.1
rna24405;XM_013088722.1
rna24406;XM_005109625.1
rna24407;XM_005109626.2
rna24408;XM_005109627.2
rna24409;XM_005109628.2
rna24410;XM_005109630.2
rna24411;XM_013088726.1
rna24412;XM_005109635.1
rna24413;XM_005109636.2
rna24414;XM_013088730.1
rna24415;NM_001204710.1
rna24416;XM_005109638.2
rna24417;XM_013088732.1
rna24418;XM_005109639.2
rna24419;XM_013088731.1
rna24420;NM_001204491.1
rna24421;XM_013088733.1
rna24422;XM_005109642.1
rna24423;XM_013088736.1
rna24424;XM_013088734.1
rna24425;XM_013088735.1
rna24426;XM_005109654.1
rna24428;XM_005109649.1
rna24429;XM_005109648.2
rna24430;XM_005109646.2
rna24431;XM_005109647.2
rna24433;XM_005109650.2
rna24434;XM_013088737.1
rna24435;XM_013088742.1
rna24436;XM_005109655.2
rna24437;XM_013088738.1
rna24438;XM_013088739.1
rna24439;XM_005109656.2
rna24440;XM_005109657.2
rna24441;XM_005109658.2
rna24442;XM_013088740.1
rna24443;XM_005109659.2
rna24444;XM_005109662.2
rna24445;XM_005109663.2
rna24446;XM_005109660.2
rna24447;XM_005109661.2
rna24448;XM_013088747.1
rna24449;XM_005109668.2
rna24450;XM_005109669.2
rna24451;XM_013088745.1
rna24452;XM_013088746.1
rna24453;XM_013088743.1
rna24454;XM_013088744.1
rna24456;XM_013088748.1
rna24457;XM_005109672.2
rna24458;XM_013088749.1
rna24459;XM_013088750.1
rna24460;XM_013088751.1
rna24461;XM_013088755.1
rna24462;XM_013088753.1
rna24463;XM_013088754.1
rna24464;XM_005109673.2
rna24465;XM_005109674.2
rna24466;XM_005109676.2
rna24467;XM_005109677.2
rna24468;XM_005109678.2
rna24469;XM_005109683.1
rna24470;XM_005109684.1
rna24471;XM_005109679.2
rna24472;XM_005109685.2
rna24473;XM_013088756.1
rna24474;XM_013088757.1
rna24475;XM_013088758.1
rna24476;XM_005109691.2
rna24477;XM_005109689.2
rna24478;XM_005109690.2
rna24479;XM_013088760.1
rna24481;XM_005109694.2
rna24482;XM_013088764.1
rna24483;XM_013088765.1
rna24484;XM_005109696.2
rna24485;XM_005109700.2
rna24486;XM_013088763.1
rna24487;XM_005109698.1
rna24488;XM_005109699.1
rna24489;XM_005109695.2
rna24490;XM_005109697.2
rna24491;XM_013088766.1
rna24492;XM_005109704.2
rna24493;XM_005109705.2
rna24494;XM_005109707.2
rna24495;XM_005109708.1
rna24496;XM_013088767.1
rna24497;XM_005109711.2
rna24498;XM_005109713.1
rna24499;XM_005109710.2
rna24500;XM_005109712.2
rna24501;XM_013088769.1
rna24502;XM_005109714.2
rna24503;XM_005109715.2
rna24504;XM_005109716.2
rna24505;XM_013088768.1
rna24506;XM_005109717.2
rna24507;XM_005109718.2
rna24508;XM_005109719.2
rna24509;XM_013088771.1
rna24511;XM_013088772.1
rna24512;XM_013088778.1
rna24513;XM_005109722.2
rna24514;XM_005109724.2
rna24515;XM_005109730.1
rna24516;XM_013088774.1
rna24517;XM_013088773.1
rna24518;XM_013088775.1
rna24519;XM_013088776.1
rna24520;XM_013088777.1
rna24521;XM_005109733.2
rna24522;XM_005109729.2
rna24523;XM_005109727.2
rna24524;XM_005109728.2
rna24525;XM_005109726.2
rna24526;XM_013088779.1
rna24527;XM_013088780.1
rna24528;XM_013088781.1
rna24529;XM_013088790.1
rna24530;XM_013088789.1
rna24531;XM_013088787.1
rna24532;XM_013088786.1
rna24533;XM_005109739.2
rna24534;XM_013088784.1
rna24535;XM_005109738.2
rna24536;XM_013088788.1
rna24537;XM_013088783.1
rna24538;XM_013088782.1
rna24539;XM_013088785.1
rna24540;XM_013088791.1
rna24541;XM_005109745.2
rna24542;XM_013088793.1
rna24543;XM_005109747.2
rna24544;XM_005109746.2
rna24545;XM_013088792.1
rna24546;XM_005109750.2
rna24547;XM_005109752.2
rna24548;XM_005109751.2
